"Time (UTCG)","Centric.LLR.Latitude (deg)","Centric.LLR.Longitude (deg)","Centric.LLR.Radius (km)","Centric.LLR.Latitude Rate (deg/sec)","Centric.LLR.Longitude Rate (deg/sec)","Centric.LLR.Radius Rate (km/sec)","Centric.SubPoint.X (km)","Centric.SubPoint.Y (km)","Centric.SubPoint.Z (km)","Centric.SubPoint.Radius (km)","Centric.SubPoint.X Rate (km/sec)","Centric.SubPoint.Y Rate (km/sec)","Centric.SubPoint.Z Rate (km/sec)","Centric.SubPoint.Radius Rate (km/sec)"
23 Mar 2021 06:00:00.000,27.608,71.190,6939.812798,0.061836,-0.014650,-0.000216,1820.993463,5346.207948,2953.621576,6373.526263,0.333737,-3.498963,6.086526,-0.000000
23 Mar 2021 06:00:05.000,27.917,71.117,6939.811605,0.061831,-0.014709,-0.000293,1822.628670,5328.633406,2984.009344,6373.430867,0.320342,-3.530842,6.068564,-0.000000
23 Mar 2021 06:00:10.000,28.226,71.043,6939.810031,0.061827,-0.014770,-0.000369,1824.196824,5310.899771,3014.306850,6373.334780,0.306916,-3.562601,6.050422,-0.000000
23 Mar 2021 06:00:15.000,28.535,70.969,6939.808076,0.061822,-0.014832,-0.000445,1825.697768,5293.007637,3044.513196,6373.238014,0.293458,-3.594241,6.032100,-0.000000
23 Mar 2021 06:00:20.000,28.845,70.895,6939.805744,0.061818,-0.014895,-0.000520,1827.131350,5274.957606,3074.627483,6373.140582,0.279970,-3.625760,6.013599,-0.000000
23 Mar 2021 06:00:25.000,29.154,70.820,6939.803034,0.061813,-0.014959,-0.000596,1828.497417,5256.750284,3104.648818,6373.042494,0.266453,-3.657157,5.994919,-0.000000
23 Mar 2021 06:00:30.000,29.463,70.745,6939.799948,0.061809,-0.015025,-0.000671,1829.795822,5238.386280,3134.576309,6372.943763,0.252906,-3.688432,5.976061,-0.000000
23 Mar 2021 06:00:35.000,29.772,70.670,6939.796489,0.061804,-0.015092,-0.000746,1831.026419,5219.866209,3164.409069,6372.844400,0.239329,-3.719584,5.957027,-0.000000
23 Mar 2021 06:00:40.000,30.081,70.595,6939.792656,0.061799,-0.015160,-0.000820,1832.189063,5201.190691,3194.146214,6372.744417,0.225725,-3.750611,5.937815,-0.000000
23 Mar 2021 06:00:45.000,30.390,70.519,6939.788451,0.061794,-0.015229,-0.000894,1833.283614,5182.360351,3223.786861,6372.643826,0.212092,-3.781513,5.918428,-0.000000
23 Mar 2021 06:00:50.000,30.699,70.442,6939.783877,0.061789,-0.015299,-0.000968,1834.309934,5163.375816,3253.330132,6372.542640,0.198432,-3.812288,5.898865,-0.000000
23 Mar 2021 06:00:55.000,31.008,70.366,6939.778934,0.061784,-0.015371,-0.001042,1835.267886,5144.237721,3282.775153,6372.440870,0.184745,-3.842937,5.879127,-0.000000
23 Mar 2021 06:01:00.000,31.317,70.288,6939.773624,0.061779,-0.015445,-0.001115,1836.157337,5124.946703,3312.121051,6372.338529,0.171032,-3.873457,5.859216,-0.000000
23 Mar 2021 06:01:05.000,31.625,70.211,6939.767948,0.061773,-0.015519,-0.001188,1836.978155,5105.503405,3341.366958,6372.235629,0.157292,-3.903849,5.839131,-0.000000
23 Mar 2021 06:01:10.000,31.934,70.133,6939.761909,0.061768,-0.015595,-0.001261,1837.730214,5085.908473,3370.512010,6372.132182,0.143528,-3.934111,5.818873,-0.000000
23 Mar 2021 06:01:15.000,32.243,70.055,6939.755506,0.061763,-0.015673,-0.001333,1838.413385,5066.162560,3399.555343,6372.028200,0.129738,-3.964242,5.798444,-0.000000
23 Mar 2021 06:01:20.000,32.552,69.977,6939.748743,0.061757,-0.015752,-0.001405,1839.027547,5046.266320,3428.496100,6371.923697,0.115924,-3.994241,5.777843,-0.000000
23 Mar 2021 06:01:25.000,32.861,69.898,6939.741621,0.061751,-0.015832,-0.001477,1839.572579,5026.220415,3457.333425,6371.818684,0.102086,-4.024108,5.757071,-0.000000
23 Mar 2021 06:01:30.000,33.169,69.818,6939.734141,0.061746,-0.015914,-0.001549,1840.048362,5006.025509,3486.066467,6371.713175,0.088224,-4.053841,5.736130,-0.000000
23 Mar 2021 06:01:35.000,33.478,69.738,6939.726305,0.061740,-0.015997,-0.001620,1840.454780,4985.682270,3514.694378,6371.607181,0.074340,-4.083440,5.715019,-0.000000
23 Mar 2021 06:01:40.000,33.787,69.658,6939.718114,0.061734,-0.016082,-0.001690,1840.791721,4965.191373,3543.216313,6371.500716,0.060433,-4.112905,5.693739,-0.000000
23 Mar 2021 06:01:45.000,34.095,69.578,6939.709570,0.061728,-0.016169,-0.001761,1841.059074,4944.553496,3571.631430,6371.393792,0.046505,-4.142233,5.672292,-0.000000
23 Mar 2021 06:01:50.000,34.404,69.497,6939.700675,0.061722,-0.016257,-0.001831,1841.256731,4923.769319,3599.938892,6371.286423,0.032555,-4.171424,5.650677,-0.000000
23 Mar 2021 06:01:55.000,34.713,69.415,6939.691431,0.061715,-0.016347,-0.001901,1841.384587,4902.839529,3628.137864,6371.178620,0.018584,-4.200478,5.628896,-0.000000
23 Mar 2021 06:02:00.000,35.021,69.333,6939.681839,0.061709,-0.016439,-0.001970,1841.442539,4881.764817,3656.227516,6371.070397,0.004594,-4.229393,5.606949,-0.000000
23 Mar 2021 06:02:05.000,35.330,69.251,6939.671901,0.061702,-0.016533,-0.002039,1841.430486,4860.545878,3684.207020,6370.961767,-0.009417,-4.258169,5.584837,-0.000000
23 Mar 2021 06:02:10.000,35.638,69.168,6939.661619,0.061696,-0.016628,-0.002108,1841.348332,4839.183409,3712.075553,6370.852742,-0.023447,-4.286804,5.562560,-0.000000
23 Mar 2021 06:02:15.000,35.947,69.084,6939.650994,0.061689,-0.016725,-0.002176,1841.195980,4817.678115,3739.832296,6370.743337,-0.037496,-4.315299,5.540120,-0.000000
23 Mar 2021 06:02:20.000,36.255,69.001,6939.640028,0.061682,-0.016824,-0.002244,1840.973340,4796.030702,3767.476431,6370.633563,-0.051563,-4.343651,5.517517,-0.000000
23 Mar 2021 06:02:25.000,36.564,68.916,6939.628723,0.061675,-0.016925,-0.002312,1840.680320,4774.241882,3795.007146,6370.523434,-0.065647,-4.371862,5.494752,-0.000000
23 Mar 2021 06:02:30.000,36.872,68.831,6939.617081,0.061668,-0.017027,-0.002379,1840.316834,4752.312369,3822.423632,6370.412964,-0.079749,-4.399928,5.471826,-0.000000
23 Mar 2021 06:02:35.000,37.180,68.746,6939.605103,0.061661,-0.017132,-0.002446,1839.882798,4730.242884,3849.725083,6370.302164,-0.093868,-4.427851,5.448739,-0.000000
23 Mar 2021 06:02:40.000,37.488,68.660,6939.592792,0.061654,-0.017239,-0.002513,1839.378128,4708.034149,3876.910699,6370.191050,-0.108002,-4.455628,5.425492,-0.000000
23 Mar 2021 06:02:45.000,37.797,68.573,6939.580150,0.061646,-0.017348,-0.002579,1838.802747,4685.686891,3903.979681,6370.079633,-0.122153,-4.483259,5.402085,-0.000000
23 Mar 2021 06:02:50.000,38.105,68.486,6939.567177,0.061638,-0.017459,-0.002645,1838.156576,4663.201842,3930.931236,6369.967928,-0.136318,-4.510744,5.378520,-0.000000
23 Mar 2021 06:02:55.000,38.413,68.399,6939.553876,0.061631,-0.017572,-0.002710,1837.439543,4640.579738,3957.764572,6369.855947,-0.150498,-4.538082,5.354798,-0.000000
23 Mar 2021 06:03:00.000,38.721,68.311,6939.540249,0.061623,-0.017688,-0.002775,1836.651575,4617.821316,3984.478904,6369.743704,-0.164691,-4.565271,5.330919,-0.000000
23 Mar 2021 06:03:05.000,39.029,68.222,6939.526298,0.061615,-0.017805,-0.002840,1835.792604,4594.927321,4011.073449,6369.631212,-0.178899,-4.592311,5.306883,-0.000000
23 Mar 2021 06:03:10.000,39.337,68.133,6939.512024,0.061607,-0.017925,-0.002904,1834.862563,4571.898498,4037.547428,6369.518485,-0.193119,-4.619202,5.282692,-0.000000
23 Mar 2021 06:03:15.000,39.645,68.043,6939.497430,0.061598,-0.018048,-0.002968,1833.861389,4548.735599,4063.900066,6369.405537,-0.207352,-4.645942,5.258347,-0.000000
23 Mar 2021 06:03:20.000,39.953,67.952,6939.482517,0.061590,-0.018173,-0.003032,1832.789022,4525.439377,4090.130592,6369.292380,-0.221597,-4.672530,5.233847,-0.000000
